id;title;album;artist
221;Kansas;17;Gorillaz
222;Sorcererz;17;Gorillaz
223;Idaho;17;Gorillaz
224;Lake Zurich;17;Gorillaz
225;Magic City;17;Gorillaz
226;Fire Flies;17;Gorillaz
227;One Percent;17;Gorillaz
228;Souk Eye;17;Gorillaz
229;"Personal Jesus [7"" Version]";18;Depeche Mode
230;Just Can't Get Enough;18;Depeche Mode
231;Everything Counts [Edit];18;Depeche Mode
232;"Enjoy The Silence [7"" Version]";18;Depeche Mode
233;Shake The Disease;18;Depeche Mode
234;See You;18;Depeche Mode
235;It's No Good;18;Depeche Mode
236;Strangelove [Single Version];18;Depeche Mode
237;Suffer Well;18;Depeche Mode
238;Dream On [Single Version];18;Depeche Mode
239;People Are People;18;Depeche Mode
240;Martyr;18;Depeche Mode
241;"Walking In My Shoes [7"" Mix]";18;Depeche Mode
242;I Feel You;18;Depeche Mode
243;Precious;18;Depeche Mode
244;Master And Servant [Edit];18;Depeche Mode
245;New Life;18;Depeche Mode
246;Never Let Me Down Again [Single Version];18;Depeche Mode
